"shape_id","route_id","via_variant","trp_direction","trip_headsign"
"4390043","439","2","Outbound","Nahant via Castle Rd."
"4390048","439","_","Inbound","Central Square via Castle Rd."
"4390049","439","3","Inbound","Wonderland via Central Square"
"440060","44","2","Outbound","Jackson Square via Humboldt Ave."
"440077","44","1","Outbound","Jackson Square via Humboldt Ave."
"440078","44","3","Outbound","Jackson Square via Humboldt Ave."
"440086","44","1","Inbound","Ruggles Station via Humboldt Ave."
"440087","44","3","Inbound","Ruggles Station via Humboldt Ave."
"4410104","441","7","Outbound","Marblehead via Central Square & Paradise Rd."
"4410108","441","9","Outbound","Marblehead via Central Square & Paradise Rd."
"4410117","441","7","Inbound","Wonderland via Paradise Rd. & Central Square"
"4410119","441","9","Inbound","West Lynn via Paradise Rd. & Central Square"
"4410122","441","8","Inbound","Wonderland via Paradise Rd. & Central Square"
"4410123","441","8","Outbound","Vinnin Sq via Central Sq & Paradise Rd"
"4420072","442","1","Outbound","Central Square via Lynnway"
"4420099","442","7","Outbound","Marblehead via Central Sq and Humphrey St"
"4420103","442","1","Inbound","Wonderland via Lynnway"
"4420104","442","9","Outbound","Marblehead via Central Sq and Humphrey St"
"4420123","442","7","Inbound","Wonderland via Central Square & Humphrey"
"4420124","442","9","Inbound","West Lynn via Central Square & Humphrey"
"4420125","442","8","Outbound","Vinnin Sq via Central Sq & Humphrey St"
"4420127","442","8","Inbound","Wonderland via Central Square & Humphrey"
"4480024","448","1","Outbound","Marblehead via Paradise Rd. & Central Square (Express)"
"4480025","448","2","Outbound","Marblehead via Paradise Rd. & Central Square (Express)"
"4480029","448","_","Inbound","Downtown Express via Airport and Paradise Rd."
"4490028","449","1","Outbound","Marblehead via Humphrey St. & Central Square (Express)"
"4490029","449","2","Outbound","Marblehead via Humphrey St. & Central Square (Express)"
"4490033","449","_","Inbound","Downtown Express via Airport and Humphrey St."
"4500070","450","9no","Outbound","Salem Depot via Western Ave."
"4500084","450","8","Outbound","Salem Depot via Western Ave."
"4500085","450","7","Outbound","Salem Depot via Western Ave."
"4500088","450","7","Inbound","Wonderland via Western"
"4500089","450","9","Inbound","West Lynn via Western"
"4500090","450","8","Inbound","Haymarket via Western Ave."
"450050","45","2","Inbound","Malcolm X Blvd. via Blue Hill Ave."
