old_route_id_short,via_variant,old_direction,new_direction,replace_route_id,new_route_id_short,replace_via_variant,new_via_variant
217,7,Outbound,Quincy Center,0,,0,
217,8,Outbound,Quincy Center via North Quincy,0,,0,
217,9,Inbound,Ashmont,0,,0,
217,9,Outbound,Quincy Center,0,,0,
22,_,Inbound,Ruggles,0,,0,
22,_,Outbound,Ashmont,0,,0,
22,4,Inbound,Kenmore via Ruggles,0,,0,
220,1,Inbound,Quincy Center via Fore River,0,,0,
220,1,Outbound,Hingham Depot via Fore River,0,,0,
220,3,Inbound,Quincy Center,0,,0,
220,3,Outbound,Hingham Depot,0,,0,
220,4,Inbound,Quincy Center,0,,1,3
220,4,Outbound,Hingham Depot via Center,0,,0,
220,5,Inbound,Quincy Center via Shipyard,0,,0,
220,5,Outbound,Hingham Depot via Shipyard,0,,0,
220,9,Outbound,Hingham Depot via Shipyard,0,,0,
22,1,Outbound,Ashmont,0,,0,
221,_,Inbound,Quincy Center,0,,0,
221,_,Outbound,Fort Point,0,,0,
22,2,Outbound,Ashmont,0,,0,
222,_,Inbound,Quincy Center,0,,0,
222,_,Outbound,East Weymouth,0,,0,
222,1,Inbound,Quincy Center via Essex St,0,,0,
222,1,Outbound,East Weymouth via Essex St,0,,0,
222,9,Inbound,Quincy Center,0,,0,
222,9,Outbound,Washington St & Pleasant St Weymouth,0,,0,
22,3,Outbound,Ashmont,0,,0,
22,E,Inbound,Kenmore via Ruggles,0,,0,
225,_,Inbound,Quincy Center via Quincy Ave,0,,0,
225,_,Outbound,Weymouth Landing via Quincy Ave,0,,0,
225,1,Inbound,Quincy Center,0,,0,
225,1,Outbound,Weymouth Landing,0,,0,
225,2,Inbound,Quincy Center via Shaw St,0,,0,
225,2,Outbound,Quintree Mall via Shaw St,0,,0,
225,3,Inbound,Quincy Center,0,,0,
225,3,Outbound,Columbian Square,0,,0,
225,4,Inbound,Quincy Center via Shaw St,0,,0,
225,4,Outbound,Weymouth Landing via Shaw St,0,,0,
225,5,Inbound,Quincy Center via Shaw St,0,,0,
225,5,Outbound,Columbian Square via Shaw St,0,,0,
23,_,Inbound,Ruggles,0,,0,
23,_,Outbound,Ashmont,0,,0,
230,2,Inbound,Quincy Adams,0,,0,
230,2,Outbound,Montello,0,,0,
230,3,Inbound,Quincy Center,0,,0,
230,3,Outbound,Montello,0,,0,
230,5,Inbound,Quincy Center via Holbrook Court,0,,0,
230,5,Outbound,Montello via Holbrook Court,0,,0,
230,6,Inbound,Quincy Adams via Holbrook Court,0,,0,
230,6,Outbound,Montello via Holbrook Court,0,,0,
23,1,Outbound,Ashmont,0,,0,
23,2,Inbound,Dudley,0,,0,
23,2,Outbound,Ashmont,0,,0,
23,3,Outbound,Ashmont,0,,0,
23,4,Outbound,Franklin Park,0,,0,
23,6,Inbound,Dudley,0,,0,
23,E,Inbound,Franklin Park,0,
23,G,Inbound,Watertown Yard via Dudley,0,,0,
236,2,Inbound,Quincy Center,0,,0,
236,2,Outbound,South Shore Plaza,0,,0,
236,3,Inbound,Quincy Center,0,,0,
236,3,Outbound,Braintree,0,,0,
238,_,Inbound,Quincy Center,0,,0,
238,_,Outbound,Crawford Square,0,,0,
238,1,Inbound,Quincy Center,0,,0,
238,2,Inbound,Quincy Adams,0,,0,
238,2,Outbound,Avon Square,0,,0,
238,3,Outbound,Avon Square,0,,0,
238,5,Outbound,Crawford Square,0,,0,
238,6,Inbound,Quincy Adams,0,,0,
238,6,Outbound,Crawford Square,0,,0,
238,7,Inbound,Quincy Center,0,,0,
238,7,Outbound,Crawford Square,0,,0,
238,8,Inbound,Quincy Center,0,,0,
238,8,Outbound,Avon Square,0,,0,
238,9,Inbound,Quincy Center,0,,0,
238,9,Outbound,Holbrook/Randolph,0,,0,
238,A,Inbound,Quincy Adams,0,,0,
